ID,Data,Hora,Alcance,Curtidas,Cliques_no_link
68,02/05/2015,21:00,4824,161,32
69,02/05/2015,21:30,4583,153,31
70,02/05/2015,22:00,4342,145,29
71,02/05/2015,22:30,4020,134,27
72,02/05/2015,23:00,3618,121,24
73,02/05/2015,23:30,3216,107,21
74,02/05/2015,00:00,1608,54,11
75,03/05/2015,06:00,812,27,5
76,03/05/2015,06:30,893,30,6
77,03/05/2015,07:00,893,30,6
78,03/05/2015,07:30,812,27,5
79,03/05/2015,08:00,893,30,6
80,03/05/2015,08:30,974,32,6
81,03/05/2015,09:00,1056,35,7
82,03/05/2015,09:30,1056,35,7
83,03/05/2015,10:00,1137,38,8
84,03/05/2015,10:30,1299,43,9
85,03/05/2015,11:00,1462,49,10
86,03/05/2015,11:30,1786,60,12
87,03/05/2015,12:00,2030,68,14
88,03/05/2015,12:30,1786,60,12
89,03/05/2015,13:00,1380,46,9
90,03/05/2015,13:30,1299,43,9
91,03/05/2015,14:00,1299,43,9
92,03/05/2015,14:30,1624,54,11
93,03/05/2015,15:00,1786,60,12
94,03/05/2015,15:30,2111,70,14
95,03/05/2015,16:00,2355,78,16
96,03/05/2015,16:30,2598,87,17
97,03/05/2015,17:00,2842,95,19
98,03/05/2015,17:30,3248,108,22
99,03/05/2015,18:00,3735,125,25
100,03/05/2015,18:30,4060,135,27
101,03/05/2015,19:00,4466,149,30
102,03/05/2015,19:30,4791,160,32
103,03/05/2015,20:00,5197,173,35
104,03/05/2015,20:30,5034,168,34
105,03/05/2015,21:00,4872,162,32
106,03/05/2015,21:30,4628,154,31
107,03/05/2015,22:00,4385,146,29
108,03/05/2015,22:30,4060,135,27
109,03/05/2015,23:00,3654,122,24
110,03/05/2015,23:30,3248,108,22
111,03/05/2015,00:00,1624,54,11
112,04/05/2015,06:00,1015,34,10
113,04/05/2015,06:30,1523,51,15
114,04/05/2015,07:00,1827,61,18
115,04/05/2015,07:30,2335,78,23
116,04/05/2015,08:00,2132,71,21
117,04/05/2015,08:30,2030,68,20
118,04/05/2015,09:00,1827,61,18
119,04/05/2015,09:30,1320,44,13
120,04/05/2015,10:00,1015,34,10
121,04/05/2015,10:30,812,27,8
122,04/05/2015,11:00,508,17,5
123,04/05/2015,11:30,711,24,7
124,04/05/2015,12:00,914,30,9
125,04/05/2015,12:30,1015,34,10
126,04/05/2015,13:00,1117,37,11
127,04/05/2015,13:30,1320,44,13
128,04/05/2015,14:00,1624,54,16
129,04/05/2015,14:30,1827,61,18
130,04/05/2015,15:00,2030,68,20
131,04/05/2015,15:30,2436,81,24
132,04/05/2015,16:00,2741,91,27
133,04/05/2015,16:30,3045,102,31
134,04/05/2015,17:00,3857,129,39
135,04/05/2015,17:30,4568,152,46
136,04/05/2015,18:00,5075,169,51
137,04/05/2015,18:30,4669,156,47
138,04/05/2015,19:00,3857,129,39
139,04/05/2015,19:30,3350,112,34
140,04/05/2015,20:00,3045,102,31
141,04/05/2015,20:30,2842,95,29
142,04/05/2015,21:00,2436,81,24
143,04/05/2015,21:30,2030,68,20
144,04/05/2015,22:00,1929,64,19
145,04/05/2015,22:30,1726,58,17
146,04/05/2015,23:00,1523,51,15
147,04/05/2015,23:30,1320,44,13
148,04/05/2015,00:00,1015,34,10
149,05/05/2015,06:00,1035,35,11
150,05/05/2015,06:30,1553,52,16
151,05/05/2015,07:00,1863,62,19
152,05/05/2015,07:30,2381,79,24
153,05/05/2015,08:00,2174,72,22
154,05/05/2015,08:30,2070,69,21
155,05/05/2015,09:00,1863,62,19
156,05/05/2015,09:30,1346,45,14
157,05/05/2015,10:00,1035,35,11
158,05/05/2015,10:30,828,28,8
159,05/05/2015,11:00,518,17,5
160,05/05/2015,11:30,725,24,7
161,05/05/2015,12:00,932,31,9
162,05/05/2015,12:30,1035,35,11
163,05/05/2015,13:00,1139,38,11
164,05/05/2015,13:30,1346,45,14
165,05/05/2015,14:00,1656,55,17
166,05/05/2015,14:30,1863,62,19
167,05/05/2015,15:00,2070,69,21
168,05/05/2015,15:30,2484,83,25
169,05/05/2015,16:00,2795,93,28
170,05/05/2015,16:30,3105,104,31
171,05/05/2015,17:00,3933,131,39
172,05/05/2015,17:30,4658,155,47
173,05/05/2015,18:00,5175,173,52
174,05/05/2015,18:30,4761,159,48
175,05/05/2015,19:00,3933,131,39
176,05/05/2015,19:30,3416,114,34
177,05/05/2015,20:00,3105,104,31
178,05/05/2015,20:30,2898,97,29
179,05/05/2015,21:00,2484,83,25
180,05/05/2015,21:30,2070,69,21
181,05/05/2015,22:00,1967,66,20
182,05/05/2015,22:30,1760,59,18
183,05/05/2015,23:00,1553,52,16
184,05/05/2015,23:30,1346,45,14
185,05/05/2015,00:00,1035,35,11
186,06/05/2015,06:00,1061,35,11
187,06/05/2015,06:30,1592,53,16
188,06/05/2015,07:00,1910,64,19
189,06/05/2015,07:30,2440,81,24
190,06/05/2015,08:00,2228,74,22
191,06/05/2015,08:30,2122,71,21
192,06/05/2015,09:00,1910,64,19
193,06/05/2015,09:30,1379,46,14
194,06/05/2015,10:00,1061,35,11
195,06/05/2015,10:30,849,28,8
196,06/05/2015,11:00,531,18,5
197,06/05/2015,11:30,743,25,8
198,06/05/2015,12:00,955,32,10
199,06/05/2015,12:30,1061,35,11
200,06/05/2015,13:00,1167,39,12
201,06/05/2015,13:30,1379,46,14
202,06/05/2015,14:00,1698,57,17
203,06/05/2015,14:30,1910,64,19
204,06/05/2015,15:00,2122,71,21
205,06/05/2015,15:30,2546,85,26
206,06/05/2015,16:00,2865,95,29
207,06/05/2015,16:30,3183,106,32
208,06/05/2015,17:00,4032,134,40
209,06/05/2015,17:30,4775,159,48
210,06/05/2015,18:00,5305,177,53
211,06/05/2015,18:30,4881,163,49
212,06/05/2015,19:00,4032,134,40
213,06/05/2015,19:30,3501,117,35
214,06/05/2015,20:00,3183,106,32
215,06/05/2015,20:30,2971,99,30
216,06/05/2015,21:00,2546,85,26
217,06/05/2015,21:30,2122,71,21
218,06/05/2015,22:00,2016,67,20
219,06/05/2015,22:30,1804,60,18
220,06/05/2015,23:00,1592,53,16
221,06/05/2015,23:30,1379,46,14
222,06/05/2015,00:00,1061,35,11
223,07/05/2015,06:00,1093,36,11
224,07/05/2015,06:30,1640,55,17
225,07/05/2015,07:00,1967,66,20
226,07/05/2015,07:30,2514,84,25
227,07/05/2015,08:00,2295,77,23
228,07/05/2015,08:30,2186,73,22
229,07/05/2015,09:00,1967,66,20
230,07/05/2015,09:30,1421,47,14
231,07/05/2015,10:00,1093,36,11
232,07/05/2015,10:30,874,29,9
233,07/05/2015,11:00,547,18,5
234,07/05/2015,11:30,765,26,8
235,07/05/2015,12:00,984,33,10
236,07/05/2015,12:30,1093,36,11
237,07/05/2015,13:00,1202,40,12
238,07/05/2015,13:30,1421,47,14
239,07/05/2015,14:00,1749,58,17
240,07/05/2015,14:30,1967,66,20
241,07/05/2015,15:00,2186,73,22
242,07/05/2015,15:30,2623,87,26
243,07/05/2015,16:00,2951,98,29
244,07/05/2015,16:30,3279,109,33
245,07/05/2015,17:00,4153,138,41
246,07/05/2015,17:30,4919,164,49
247,07/05/2015,18:00,5465,182,55
248,07/05/2015,18:30,5028,168,50
249,07/05/2015,19:00,4153,138,41
250,07/05/2015,19:30,3607,120,36
251,07/05/2015,20:00,3279,109,33
252,07/05/2015,20:30,3060,102,31
253,07/05/2015,21:00,2623,87,26
254,07/05/2015,21:30,2186,73,22
255,07/05/2015,22:00,2077,69,21
256,07/05/2015,22:30,1858,62,19
257,07/05/2015,23:00,1640,55,17
258,07/05/2015,23:30,1421,47,14
259,07/05/2015,00:00,1093,36,11
260,08/05/2015,06:00,1131,38,11
261,08/05/2015,06:30,1697,57,17
262,08/05/2015,07:00,2036,68,20
263,08/05/2015,07:30,2601,87,26
264,08/05/2015,08:00,2375,79,24
265,08/05/2015,08:30,2262,75,23
266,08/05/2015,09:00,2036,68,20
267,08/05/2015,09:30,1470,49,15
268,08/05/2015,10:00,1131,38,11
269,08/05/2015,10:30,905,30,9
270,08/05/2015,11:00,566,19,6
271,08/05/2015,11:30,792,26,8
272,08/05/2015,12:00,1018,34,10
273,08/05/2015,12:30,1131,38,11
274,08/05/2015,13:00,1244,41,12
275,08/05/2015,13:30,1470,49,15
276,08/05/2015,14:00,1810,60,18
277,08/05/2015,14:30,2036,68,20
278,08/05/2015,15:00,2262,75,23
279,08/05/2015,15:30,2714,90,27
280,08/05/2015,16:00,3054,102,31
281,08/05/2015,16:30,3393,113,34
282,08/05/2015,17:00,4298,143,43
283,08/05/2015,17:30,5090,170,51
284,08/05/2015,18:00,5655,189,57
285,08/05/2015,18:30,5203,173,52
286,08/05/2015,19:00,4298,143,43
287,08/05/2015,19:30,3732,124,37
288,08/05/2015,20:00,3393,113,34
289,08/05/2015,20:30,3167,106,32
290,08/05/2015,21:00,2714,90,27
291,08/05/2015,21:30,2262,75,23
292,08/05/2015,22:00,2149,72,22
293,08/05/2015,22:30,1923,64,19
294,08/05/2015,23:00,1697,57,17
295,08/05/2015,23:30,1470,49,15
296,08/05/2015,00:00,1131,38,11
297,09/05/2015,06:00,941,31,6
298,09/05/2015,06:30,1035,35,7
299,09/05/2015,07:00,1035,35,7
300,09/05/2015,07:30,941,31,6
301,09/05/2015,08:00,1035,35,7
302,09/05/2015,08:30,1129,38,8
303,09/05/2015,09:00,1223,41,8
304,09/05/2015,09:30,1223,41,8
305,09/05/2015,10:00,1317,44,9
306,09/05/2015,10:30,1506,50,10
307,09/05/2015,11:00,1694,56,11
308,09/05/2015,11:30,2070,69,14
309,09/05/2015,12:00,2353,78,16
310,09/05/2015,12:30,2070,69,14
311,09/05/2015,13:00,1600,53,11
312,09/05/2015,13:30,1506,50,10
313,09/05/2015,14:00,1506,50,10
314,09/05/2015,14:30,1882,63,13
315,09/05/2015,15:00,2070,69,14
316,09/05/2015,15:30,2447,82,16
317,09/05/2015,16:00,2729,91,18
318,09/05/2015,16:30,3011,100,20
319,09/05/2015,17:00,3294,110,22
320,09/05/2015,17:30,3764,125,25
321,09/05/2015,18:00,4329,144,29
322,09/05/2015,18:30,4705,157,31
323,09/05/2015,19:00,5176,173,35
324,09/05/2015,19:30,5552,185,37
325,09/05/2015,20:00,6022,201,40
326,09/05/2015,20:30,5834,194,39
327,09/05/2015,21:00,5646,188,38
328,09/05/2015,21:30,5364,179,36
329,09/05/2015,22:00,5081,169,34
330,09/05/2015,22:30,4705,157,31
331,09/05/2015,23:00,4235,141,28
332,09/05/2015,23:30,3764,125,25
333,09/05/2015,00:00,1882,63,13
334,10/05/2015,06:00,983,33,7
335,10/05/2015,06:30,1081,36,7
336,10/05/2015,07:00,1081,36,7
337,10/05/2015,07:30,983,33,7
338,10/05/2015,08:00,1081,36,7
339,10/05/2015,08:30,1180,39,8
340,10/05/2015,09:00,1278,43,9
341,10/05/2015,09:30,1278,43,9
342,10/05/2015,10:00,1376,46,9
343,10/05/2015,10:30,1573,52,10
344,10/05/2015,11:00,1769,59,12
345,10/05/2015,11:30,2163,72,14
346,10/05/2015,12:00,2458,82,16
347,10/05/2015,12:30,2163,72,14
348,10/05/2015,13:00,1671,56,11
349,10/05/2015,13:30,1573,52,10
350,10/05/2015,14:00,1573,52,10
351,10/05/2015,14:30,1966,66,13
352,10/05/2015,15:00,2163,72,14
353,10/05/2015,15:30,2556,85,17
354,10/05/2015,16:00,2851,95,19
355,10/05/2015,16:30,3146,105,21
356,10/05/2015,17:00,3441,115,23
357,10/05/2015,17:30,3932,131,26
358,10/05/2015,18:00,4522,151,30
359,10/05/2015,18:30,4915,164,33
360,10/05/2015,19:00,5407,180,36
361,10/05/2015,19:30,5800,193,39
362,10/05/2015,20:00,6291,210,42
363,10/05/2015,20:30,6095,203,41
364,10/05/2015,21:00,5898,197,39
365,10/05/2015,21:30,5603,187,37
366,10/05/2015,22:00,5308,177,35
367,10/05/2015,22:30,4915,164,33
368,10/05/2015,23:00,4424,147,29
369,10/05/2015,23:30,3932,131,26
370,10/05/2015,00:00,1966,66,13
371,11/05/2015,06:00,1188,40,12
372,11/05/2015,06:30,1782,59,18
373,11/05/2015,07:00,2138,71,21
374,11/05/2015,07:30,2732,91,27
375,11/05/2015,08:00,2495,83,25
376,11/05/2015,08:30,2376,79,24
377,11/05/2015,09:00,2138,71,21
378,11/05/2015,09:30,1544,51,15
379,11/05/2015,10:00,1188,40,12
380,11/05/2015,10:30,950,32,10
381,11/05/2015,11:00,594,20,6
382,11/05/2015,11:30,832,28,8
383,11/05/2015,12:00,1069,36,11
384,11/05/2015,12:30,1188,40,12
385,11/05/2015,13:00,1307,44,13
386,11/05/2015,13:30,1544,51,15
387,11/05/2015,14:00,1901,63,19
388,11/05/2015,14:30,2138,71,21
389,11/05/2015,15:00,2376,79,24
390,11/05/2015,15:30,2851,95,29
391,11/05/2015,16:00,3208,107,32
392,11/05/2015,16:30,3564,119,36
393,11/05/2015,17:00,4514,150,45
394,11/05/2015,17:30,5346,178,53
395,11/05/2015,18:00,5940,198,59
396,11/05/2015,18:30,5465,182,55
397,11/05/2015,19:00,4514,150,45
398,11/05/2015,19:30,3920,131,39
399,11/05/2015,20:00,3564,119,36
400,11/05/2015,20:30,3326,111,33
401,11/05/2015,21:00,2851,95,29
402,11/05/2015,21:30,2376,79,24
403,11/05/2015,22:00,2257,75,23
404,11/05/2015,22:30,2020,67,20
405,11/05/2015,23:00,1782,59,18
406,11/05/2015,23:30,1544,51,15
407,11/05/2015,00:00,1188,40,12
408,12/05/2015,06:00,1253,42,13
409,12/05/2015,06:30,1880,63,19
410,12/05/2015,07:00,2255,75,23
411,12/05/2015,07:30,2882,96,29
412,12/05/2015,08:00,2631,88,26
413,12/05/2015,08:30,2506,84,25
414,12/05/2015,09:00,2255,75,23
415,12/05/2015,09:30,1629,54,16
416,12/05/2015,10:00,1253,42,13
417,12/05/2015,10:30,1002,33,10
418,12/05/2015,11:00,627,21,6
419,12/05/2015,11:30,877,29,9
420,12/05/2015,12:00,1128,38,11
421,12/05/2015,12:30,1253,42,13
422,12/05/2015,13:00,1378,46,14
423,12/05/2015,13:30,1629,54,16
424,12/05/2015,14:00,2005,67,20
425,12/05/2015,14:30,2255,75,23
426,12/05/2015,15:00,2506,84,25
427,12/05/2015,15:30,3007,100,30
428,12/05/2015,16:00,3383,113,34
429,12/05/2015,16:30,3759,125,38
430,12/05/2015,17:00,4761,159,48
431,12/05/2015,17:30,5639,188,56
432,12/05/2015,18:00,6265,209,63
433,12/05/2015,18:30,5764,192,58
434,12/05/2015,19:00,4761,159,48
435,12/05/2015,19:30,4135,138,41
436,12/05/2015,20:00,3759,125,38
437,12/05/2015,20:30,3508,117,35
438,12/05/2015,21:00,3007,100,30
439,12/05/2015,21:30,2506,84,25
440,12/05/2015,22:00,2381,79,24
441,12/05/2015,22:30,2130,71,21
442,12/05/2015,23:00,1880,63,19
443,12/05/2015,23:30,1629,54,16
444,12/05/2015,00:00,1253,42,13
445,13/05/2015,06:00,1328,44,13
446,13/05/2015,06:30,1992,66,20
447,13/05/2015,07:00,2390,80,24
448,13/05/2015,07:30,3054,102,31
449,13/05/2015,08:00,2789,93,28
450,13/05/2015,08:30,2656,89,27
451,13/05/2015,09:00,2390,80,24
452,13/05/2015,09:30,1726,58,17
453,13/05/2015,10:00,1328,44,13
454,13/05/2015,10:30,1062,35,11
455,13/05/2015,11:00,664,22,7
456,13/05/2015,11:30,930,31,9
457,13/05/2015,12:00,1195,40,12
458,13/05/2015,12:30,1328,44,13
459,13/05/2015,13:00,1461,49,15
460,13/05/2015,13:30,1726,58,17
461,13/05/2015,14:00,2125,71,21
462,13/05/2015,14:30,2390,80,24
463,13/05/2015,15:00,2656,89,27
464,13/05/2015,15:30,3187,106,32
465,13/05/2015,16:00,3586,120,36
466,13/05/2015,16:30,3984,133,40
467,13/05/2015,17:00,5046,168,50
468,13/05/2015,17:30,5976,199,60
469,13/05/2015,18:00,6640,221,66
470,13/05/2015,18:30,6109,204,61
471,13/05/2015,19:00,5046,168,50
472,13/05/2015,19:30,4382,146,44
473,13/05/2015,20:00,3984,133,40
474,13/05/2015,20:30,3718,124,37
475,13/05/2015,21:00,3187,106,32
476,13/05/2015,21:30,2656,89,27
477,13/05/2015,22:00,2523,84,25
478,13/05/2015,22:30,2258,75,23
479,13/05/2015,23:00,1992,66,20
480,13/05/2015,23:30,1726,58,17
481,13/05/2015,00:00,1328,44,13
482,14/05/2015,06:00,1414,47,14
483,14/05/2015,06:30,2121,71,21
484,14/05/2015,07:00,2545,85,26
485,14/05/2015,07:30,3252,108,32
486,14/05/2015,08:00,2969,99,30
487,14/05/2015,08:30,2828,94,28
488,14/05/2015,09:00,2545,85,26
489,14/05/2015,09:30,1838,61,18
490,14/05/2015,10:00,1414,47,14
491,14/05/2015,10:30,1131,38,11
492,14/05/2015,11:00,707,24,7
493,14/05/2015,11:30,990,33,10
494,14/05/2015,12:00,1273,42,13
495,14/05/2015,12:30,1414,47,14
496,14/05/2015,13:00,1555,52,16
497,14/05/2015,13:30,1838,61,18
498,14/05/2015,14:00,2262,75,23
499,14/05/2015,14:30,2545,85,26
500,14/05/2015,15:00,2828,94,28
501,14/05/2015,15:30,3394,113,34
502,14/05/2015,16:00,3818,127,38
503,14/05/2015,16:30,4242,141,42
504,14/05/2015,17:00,5373,179,54
505,14/05/2015,17:30,6363,212,64
506,14/05/2015,18:00,7070,236,71
507,14/05/2015,18:30,6504,217,65
508,14/05/2015,19:00,5373,179,54
509,14/05/2015,19:30,4666,156,47
510,14/05/2015,20:00,4242,141,42
511,14/05/2015,20:30,3959,132,40
512,14/05/2015,21:00,3394,113,34
513,14/05/2015,21:30,2828,94,28
514,14/05/2015,22:00,2687,90,27
515,14/05/2015,22:30,2404,80,24
516,14/05/2015,23:00,2121,71,21
517,14/05/2015,23:30,1838,61,18
518,14/05/2015,00:00,1414,47,14
519,15/05/2015,06:00,1513,50,15
520,15/05/2015,06:30,2270,76,23
521,15/05/2015,07:00,2723,91,27
522,15/05/2015,07:30,3480,116,35
523,15/05/2015,08:00,3177,106,32
524,15/05/2015,08:30,3026,101,30
525,15/05/2015,09:00,2723,91,27
526,15/05/2015,09:30,1967,66,20
527,15/05/2015,10:00,1513,50,15
528,15/05/2015,10:30,1210,40,12
529,15/05/2015,11:00,757,25,8
530,15/05/2015,11:30,1059,35,11
531,15/05/2015,12:00,1362,45,14
532,15/05/2015,12:30,1513,50,15
533,15/05/2015,13:00,1664,55,17
534,15/05/2015,13:30,1967,66,20
535,15/05/2015,14:00,2421,81,24
536,15/05/2015,14:30,2723,91,27
537,15/05/2015,15:00,3026,101,30
538,15/05/2015,15:30,3631,121,36
539,15/05/2015,16:00,4085,136,41
540,15/05/2015,16:30,4539,151,45
541,15/05/2015,17:00,5749,192,58
542,15/05/2015,17:30,6809,227,68
543,15/05/2015,18:00,7565,252,76
544,15/05/2015,18:30,6960,232,70
545,15/05/2015,19:00,5749,192,58
546,15/05/2015,19:30,4993,166,50
547,15/05/2015,20:00,4539,151,45
548,15/05/2015,20:30,4236,141,42
549,15/05/2015,21:00,3631,121,36
550,15/05/2015,21:30,3026,101,30
551,15/05/2015,22:00,2875,96,29
552,15/05/2015,22:30,2572,86,26
553,15/05/2015,23:00,2270,76,23
554,15/05/2015,23:30,1967,66,20
555,15/05/2015,00:00,1513,50,15
556,16/05/2015,06:00,1301,43,9
557,16/05/2015,06:30,1431,48,10
558,16/05/2015,07:00,1431,48,10
559,16/05/2015,07:30,1301,43,9
560,16/05/2015,08:00,1431,48,10
561,16/05/2015,08:30,1561,52,10
562,16/05/2015,09:00,1691,56,11
563,16/05/2015,09:30,1691,56,11
564,16/05/2015,10:00,1821,61,12
565,16/05/2015,10:30,2082,69,14
566,16/05/2015,11:00,2342,78,16
567,16/05/2015,11:30,2862,95,19
568,16/05/2015,12:00,3253,108,22
569,16/05/2015,12:30,2862,95,19
570,16/05/2015,13:00,2212,74,15
571,16/05/2015,13:30,2082,69,14
572,16/05/2015,14:00,2082,69,14
573,16/05/2015,14:30,2602,87,17
574,16/05/2015,15:00,2862,95,19
575,16/05/2015,15:30,3383,113,23
576,16/05/2015,16:00,3773,126,25
577,16/05/2015,16:30,4163,139,28
578,16/05/2015,17:00,4554,152,30
579,16/05/2015,17:30,5204,173,35
580,16/05/2015,18:00,5985,199,40
581,16/05/2015,18:30,6505,217,43
582,16/05/2015,19:00,7156,239,48
583,16/05/2015,19:30,7676,256,51
584,16/05/2015,20:00,8326,278,56
585,16/05/2015,20:30,8066,269,54
586,16/05/2015,21:00,7806,260,52
587,16/05/2015,21:30,7416,247,49
588,16/05/2015,22:00,7025,234,47
589,16/05/2015,22:30,6505,217,43
590,16/05/2015,23:00,5855,195,39
591,16/05/2015,23:30,5204,173,35
592,16/05/2015,00:00,2602,87,17
593,17/05/2015,06:00,1405,47,9
594,17/05/2015,06:30,1546,52,10
595,17/05/2015,07:00,1546,52,10
596,17/05/2015,07:30,1405,47,9
597,17/05/2015,08:00,1546,52,10
598,17/05/2015,08:30,1686,56,11
599,17/05/2015,09:00,1827,61,12
600,17/05/2015,09:30,1827,61,12
601,17/05/2015,10:00,1967,66,13
602,17/05/2015,10:30,2248,75,15
603,17/05/2015,11:00,2529,84,17
604,17/05/2015,11:30,3091,103,21
605,17/05/2015,12:00,3513,117,23
606,17/05/2015,12:30,3091,103,21
607,17/05/2015,13:00,2389,80,16
608,17/05/2015,13:30,2248,75,15
609,17/05/2015,14:00,2248,75,15
610,17/05/2015,14:30,2810,94,19
611,17/05/2015,15:00,3091,103,21
612,17/05/2015,15:30,3653,122,24
613,17/05/2015,16:00,4075,136,27
614,17/05/2015,16:30,4496,150,30
615,17/05/2015,17:00,4918,164,33
616,17/05/2015,17:30,5620,187,37
617,17/05/2015,18:00,6463,215,43
618,17/05/2015,18:30,7025,234,47
619,17/05/2015,19:00,7728,258,52
620,17/05/2015,19:30,8290,276,55
621,17/05/2015,20:00,8992,300,60
622,17/05/2015,20:30,8711,290,58
623,17/05/2015,21:00,8430,281,56
624,17/05/2015,21:30,8009,267,53
625,17/05/2015,22:00,7587,253,51
626,17/05/2015,22:30,7025,234,47
627,17/05/2015,23:00,6323,211,42
628,17/05/2015,23:30,5620,187,37
629,17/05/2015,00:00,2810,94,19
630,18/05/2015,06:00,1642,55,17
631,18/05/2015,06:30,2463,82,25
632,18/05/2015,07:00,2956,99,30
633,18/05/2015,07:30,3777,126,38
634,18/05/2015,08:00,3448,115,35
635,18/05/2015,08:30,3284,109,33
636,18/05/2015,09:00,2956,99,30
637,18/05/2015,09:30,2135,71,21
638,18/05/2015,10:00,1642,55,17
639,18/05/2015,10:30,1314,44,13
640,18/05/2015,11:00,821,27,8
641,18/05/2015,11:30,1149,38,11
642,18/05/2015,12:00,1478,49,15
643,18/05/2015,12:30,1642,55,17
644,18/05/2015,13:00,1806,60,18
645,18/05/2015,13:30,2135,71,21
646,18/05/2015,14:00,2627,88,26
647,18/05/2015,14:30,2956,99,30
648,18/05/2015,15:00,3284,109,33
649,18/05/2015,15:30,3941,131,39
650,18/05/2015,16:00,4433,148,44
651,18/05/2015,16:30,4926,164,49
652,18/05/2015,17:00,6240,208,62
653,18/05/2015,17:30,7389,246,74
654,18/05/2015,18:00,8210,274,82
655,18/05/2015,18:30,7553,252,76
656,18/05/2015,19:00,6240,208,62
657,18/05/2015,19:30,5419,181,54
658,18/05/2015,20:00,4926,164,49
659,18/05/2015,20:30,4598,153,46
660,18/05/2015,21:00,3941,131,39
661,18/05/2015,21:30,3284,109,33
662,18/05/2015,22:00,3120,104,31
663,18/05/2015,22:30,2791,93,28
664,18/05/2015,23:00,2463,82,25
665,18/05/2015,23:30,2135,71,21
666,18/05/2015,00:00,1642,55,17
667,19/05/2015,06:00,1790,60,18
668,19/05/2015,06:30,2685,90,27
669,19/05/2015,07:00,3222,107,32
670,19/05/2015,07:30,4117,137,41
671,19/05/2015,08:00,3759,125,38
672,19/05/2015,08:30,3580,119,36
673,19/05/2015,09:00,3222,107,32
674,19/05/2015,09:30,2327,78,23
675,19/05/2015,10:00,1790,60,18
676,19/05/2015,10:30,1432,48,14
677,19/05/2015,11:00,895,30,9
678,19/05/2015,11:30,1253,42,13
679,19/05/2015,12:00,1611,54,16
680,19/05/2015,12:30,1790,60,18
681,19/05/2015,13:00,1969,66,20
682,19/05/2015,13:30,2327,78,23
683,19/05/2015,14:00,2864,95,29
684,19/05/2015,14:30,3222,107,32
685,19/05/2015,15:00,3580,119,36
686,19/05/2015,15:30,4296,143,43
687,19/05/2015,16:00,4833,161,48
688,19/05/2015,16:30,5370,179,54
689,19/05/2015,17:00,6802,227,68
690,19/05/2015,17:30,8055,269,81
691,19/05/2015,18:00,8950,298,89
692,19/05/2015,18:30,8234,274,82
693,19/05/2015,19:00,6802,227,68
694,19/05/2015,19:30,5907,197,59
695,19/05/2015,20:00,5370,179,54
696,19/05/2015,20:30,5012,167,50
697,19/05/2015,21:00,4296,143,43
698,19/05/2015,21:30,3580,119,36
699,19/05/2015,22:00,3401,113,34
